name,lon,lat,pop
Meyrin,46.2328413,6.0817791,22431
Vernier,46.2143981,6.0832507,34835
Onex,46.1836887,6.1001121,18074
Plan-les-Ouates,46.1683113,6.117887,10325
Lancy,46.1839156,6.1224047,29550
Le_Grand-Saconnex,46.2363321,6.126532,12048
Carouge,46.1846691,6.1396839,20944
Geneve,46.2017559,6.1466014,195177
Versoix,46.2767572,6.168958,13190
Veyrier,46.1685738,6.1803922,10852
Chene-Bougeries,46.1963639,6.1854072,10642
Thonex,46.1884469,6.19807,13843
Nyon,46.3820535,6.2403073,19016
Gland,46.4212913,6.2675845,13181
Morges,46.5093268,6.498317,15708
Ecublens,46.5261672,6.5620735,10227
Renens,46.535299,6.593655,18406
Prilly,46.5374332,6.6113784,10955
Lausanne,46.5218269,6.6327025,132626
Yverdon-les-Bains,46.7785711,6.6409158,28377
Pully,46.5087682,6.6640273,16034
Le_Locle,47.0555907,6.745454,10529
La_Chaux-de-Fonds,47.111833,6.838226,37016
Vevey,46.4630554,6.8424643,18854
La_Tour-de-Peilz,46.4548415,6.8599382,10974
Montreux,46.4310831,6.9129921,25440
Neuchatel,46.9895828,6.9292641,33641
Monthey,46.2554573,6.9537826,13933
Bulle,46.6146237,7.0593812,20824
Martigny,46.103115,7.0727354,14361
Villars-sur-Glane,46.7932418,7.1252018,12057
Fribourg,46.8030044,7.1512891,36633
Biel,47.1420451,7.2585667,52351
Lyss,47.0721368,7.305262,14080
Delemont,47.3619609,7.354039,11809
Sion,46.2311749,7.3588795,32797
Grenchen,47.1968713,7.3965792,16401
Koniz,46.9222385,7.4130582,37782
Bern,46.9482713,7.4514512,127515
Ittigen,46.9790726,7.4815213,10991
Muri_bei_Bern,46.9290477,7.4870909,12571
Ostermundigen,46.9582779,7.4911242,16185
Bolligen,46.9755611,7.4983298,6286
Sierre,46.2922522,7.5323195,16332
Solothurn,47.2081355,7.5384045,16599
Allschwil,47.548185,7.541198,18131
Oberwil,47.513088,7.548069,10775
Munsingen,46.8739775,7.5631943,10937
Binningen,47.53656,7.570077,14905
Basel,47.5581077,7.5878261,173960
Reinach,47.4935369,7.5910891,18839
Munchenstein,47.5185286,7.6210463,11702
Burgdorf,47.058688,7.6231592,14714
Thun,46.7582827,7.628086,42735
Birsfelden,47.5542152,7.6304739,10277
Riehen,47.5750216,7.6346404,20970
Steffisburg,46.7774738,7.6354195,14349
Muttenz,47.525113,7.6477401,16654
Spiez,46.6919473,7.6774655,12027
Pratteln,47.5192013,7.6944741,14904
Herzogenbuchsee,47.1881314,7.7057052,5338
Liestal,47.4839723,7.7347783,13708
Sumiswald,47.0285646,7.7449828,5307
Langenthal,47.2115846,7.7888427,14078
Rheinfelden,47.5543859,7.7922905,10673
Visp,46.2913113,7.8811918,7281
Olten,47.3507365,7.9053185,17280
Oftringen,47.3126595,7.92099,10305
Zofingen,47.288491,7.9458259,9432
Bad_Sackingen,47.5525538,7.9495387,16706
Brig,46.3163457,7.9879473,12823
Aarau,47.3927146,8.0444448,20130
Laufenburg,47.5604617,8.0601696,2096
Lenzburg,47.3872367,8.1828505,10822
Brugg,47.4824633,8.2085662,9143
Sarnen,46.8956729,8.2461492,9959
Mellingen,47.4195131,8.274659,4239
Wohlen,47.3504945,8.2786906,14259
Kriens,47.0350948,8.2791767,25932
Emmen,47.0752429,8.2839456,28926
Luzern,47.0505452,8.3054682,79478
Baden,47.4736827,8.3086822,18523
Horw,47.0185008,8.3107797,12648
Wettingen,47.4678661,8.3220846,17870
Bremgarten,47.3539569,8.3376446,5338
Ebikon,47.0812067,8.338521,11322
Stans,46.9570611,8.3661026,8112
Dietikon,47.4068827,8.4020894,23578
Rotkreuz,47.1407748,8.4308106,10000
Kussnacht,47.08385,8.4386308,10704
Schlieren,47.3965147,8.4444861,13356
