"","name","country.etc","pop","lat","lon","capital"
"5454","Brownsville","USA",174135,25.93,-97.48,0
"5510","Bryan","USA",70386,30.67,-96.37,0
"5609","Buena Park","USA",79388,33.86,-118,0
"5634","Buffalo","USA",276762,42.89,-78.86,0
"5635","Buffalo Grove","USA",43355,42.17,-87.96,0
"5785","Burbank","USA",105515,34.19,-118.33,0
"5825","Burke","USA",58270,38.78,-77.27,0
"5828","Burlington","USA",47290,36.08,-79.45,0
"5835","Burnsville","USA",59357,44.76,-93.28,0
"6209","Camarillo","USA",63560,34.22,-119.03,0
"6225","Cambridge","USA",101342,42.38,-71.12,0
"6231","Camden","USA",80393,39.94,-75.11,0
"6390","Canton","USA",77575,40.81,-81.37,0
"6391","Canton","USA",89064,42.31,-83.48,0
"6418","Cape Coral","USA",137134,26.64,-82,0
"6527","Carlsbad","USA",93848,33.12,-117.29,0
"6536","Carmel","USA",49188,39.97,-86.11,0
"6550","Carmichael","USA",51165,38.63,-121.32,0
"6561","Carol City","USA",63659,25.94,-80.27,0
"6562","Carol Stream","USA",39749,41.92,-88.13,0
"6593","Carrollton","USA",123154,32.99,-96.9,0
"6597","Carson","USA",96933,33.84,-118.26,0
"6598","Carson City","USA",58350,39.15,-119.74,0
"6618","Cary","USA",106117,35.78,-78.8,0
"6637","Casas Adobes","USA",84988,32.32,-110.99,0
"6664","Casper","USA",51808,42.83,-106.33,0
"6720","Castle Rock","USA",43905,39.38,-104.85,0
"6740","Castro Valley","USA",63908,37.71,-122.06,0
"6757","Catalina Foothills","USA",84369,32.3,-110.92,0
"6776","Cathedral City","USA",55253,33.83,-116.46,0
"6781","Catonsville","USA",43406,39.26,-76.74,0
"6843","Cedar Hill","USA",46869,32.58,-96.96,0
"6844","Cedar Park","USA",58499,30.51,-97.83,0
"6845","Cedar Rapids","USA",123243,41.97,-91.67,0
"6887","Centennial","USA",95961,39.6,-104.85,0
"6891","Centreville","USA",69167,38.85,-77.44,0
"6908","Ceres","USA",41223,37.6,-120.96,0
"6942","Cerritos","USA",53616,33.87,-118.07,0
"7084","Champaign","USA",76999,40.11,-88.26,0
"7098","Chandler","USA",247915,33.3,-111.87,0
"7136","Chantilly","USA",50103,38.88,-77.41,0
"7149","Chapel Hill","USA",47613,35.93,-79.04,0
"7172","Charleston","USA",106372,32.79,-79.99,0
"7173","Charleston","USA",49804,38.35,-81.63,0
"7177","Charlotte","USA",607111,35.2,-80.83,0
"7222","Chattanooga","USA",153617,35.07,-85.26,0
"7247","Cheektowaga","USA",76785,42.91,-78.75,0
"7302","Cherry Hill","USA",70489,39.9,-75,0
"7313","Chesapeake","USA",223222,36.68,-76.31,0
"7322","Chesterfield","USA",47202,38.65,-90.58,0
"7331","Cheyenne","USA",55833,41.15,-104.79,0
"7367","Chicago","USA",2830144,41.84,-87.68,0
"7382","Chico","USA",71997,39.75,-121.81,0
"7387","Chicopee","USA",55222,42.18,-72.57,0
"7460","Chino","USA",77147,34.01,-117.69,0
"7461","Chino Hills","USA",80817,33.97,-117.75,0
"7650","Chula Vista","USA",221736,32.63,-117.04,0
"7706","Cicero","USA",80414,41.84,-87.76,0
"7748","Cincinnati","USA",301561,39.14,-84.51,0
"7789","Citrus Heights","USA",90277,38.69,-121.29,0
"7833","Clarksville","USA",113379,36.56,-87.35,0
"7842","Clearwater","USA",107866,27.98,-82.77,0
"7854","Cleveland","USA",443949,41.48,-81.68,0
"7855","Cleveland Heights","USA",47123,41.51,-81.56,0
"7859","Clifton","USA",80446,40.86,-74.16,0
"7864","Clinton","USA",100517,42.59,-82.92,0
"7872","Clovis","USA",90115,36.82,-119.7,0
"7914","Coconut Creek","USA",51848,26.28,-80.18,0
"7932","Coeur d'Alene","USA",40270,47.7,-116.78,0
"7977","College Station","USA",80627,30.6,-96.31,0
"8014","Colorado Springs","USA",375744,38.86,-104.76,0
"8023","Colton","USA",53281,34.06,-117.32,0
"8024","Columbia","USA",118020,34.04,-80.89,0
"8025","Columbia","USA",92756,38.95,-92.33,0
"8026","Columbia","USA",97772,39.2,-76.86,0
"8027","Columbus","USA",184900,32.51,-84.87,0
"8028","Columbus","USA",39453,39.21,-85.91,0
"8029","Columbus","USA",741677,39.99,-82.99,0
"8067","Compton","USA",97338,33.89,-118.23,0
"8104","Concord","USA",126360,37.97,-122,0
"8105","Concord","USA",42967,43.23,-71.56,0
"8106","Concord","USA",61640,35.41,-80.59,0
"8129","Conroe","USA",42545,30.32,-95.47,0
"8160","Conway","USA",53297,35.09,-92.45,0
"8166","Coon Rapids","USA",62711,45.17,-93.31,0
"8181","Coppell","USA",40487,32.96,-96.99,0
"8189","Coral Gables","USA",42495,25.7,-80.26,0
"8190","Coral Springs","USA",134773,26.27,-80.26,0
"8254","Corona","USA",159198,33.87,-117.57,0
"8271","Corpus Christi","USA",280808,27.71,-97.29,0
"8295","Corvallis","USA",50932,44.57,-123.28,0
"8311","Costa Mesa","USA",109357,33.67,-117.91,0
"8342","Council Bluffs","USA",58834,41.24,-95.86,0
"8343","Country Club","USA",58321,25.95,-80.32,0
"8365","Covina","USA",49039,34.09,-117.88,0
"8366","Covington","USA",41896,39.04,-84.51,0
"8397","Cranston","USA",83595,41.77,-71.48,0
"8464","Crystal Lake","USA",41874,42.23,-88.33,0
"8562","Culver City","USA",40361,34.01,-118.4,0
"8581","Cupertino","USA",50952,37.31,-122.05,0
"8616","Cuyahoga Falls","USA",52223,41.17,-81.52,0
"8625","Cypress","USA",47521,33.82,-118.04,0
"8720","Dale City","USA",62241,38.65,-77.34,0
"8740","Dallas","USA",1216543,32.79,-96.77,0
"8756","Daly City","USA",98084,37.69,-122.47,0
"8789","Danbury","USA",79292,41.4,-73.47,0
"8821","Danville","USA",43110,37.81,-121.97,0
"8822","Danville","USA",45382,36.58,-79.41,0
"8930","Davenport","USA",96595,41.56,-90.6,0
"8936","Davie","USA",84154,26.08,-80.29,0
"8937","Davis","USA",66992,38.55,-121.74,0
"8978","Dayton","USA",157607,39.78,-84.2,0
"8979","Daytona Beach","USA",64735,29.19,-81.05,0
"8991","DeKalb","USA",44223,41.93,-88.75,0
"8992","DeSoto","USA",47179,32.6,-96.86,0
"8994","Dearborn","USA",94681,42.31,-83.21,0
"8995","Dearborn Heights","USA",55964,42.33,-83.27,0
"9014","Decatur","USA",54717,34.57,-86.99,0
"9015","Decatur","USA",77026,39.85,-88.93,0
"9028","Deerfield Beach","USA",66628,26.31,-80.12,0
"9063","Delano","USA",45933,35.76,-119.25,0
"9092","Delray Beach","USA",66633,26.45,-80.09,0
"9094","Deltona","USA",84646,28.91,-81.21,0
"9131","Dennis","USA",39833,41.74,-70.2,0
"9137","Denton","USA",105431,33.21,-97.13,0
"9138","Denver","USA",556575,39.77,-104.87,0
"9173","Des Moines","USA",192050,41.58,-93.62,0
"9174","Des Plaines","USA",53601,42.03,-87.9,0
"9207","Detroit","USA",871789,42.38,-83.1,0
"9280","Diamond Bar","USA",59433,34,-117.81,0
"9734","Dothan","USA",62449,31.24,-85.41,0
"9760","Downers Grove","USA",49471,41.8,-88.02,0
"9761","Downey","USA",112762,33.94,-118.13,0
"9865","Dublin","USA",40791,37.72,-121.91,0
"9882","Dubuque","USA",57027,42.5,-90.69,0
"9925","Duluth","USA",84472,46.78,-92.12,0
"9965","Dundalk","USA",61426,39.27,-76.5,0
"10012","Durham","USA",208426,35.98,-78.91,0
"10037","Duxbury","USA",44473,42.04,-70.67,0
"10084","Eagan","USA",64393,44.82,-93.16,0
"10089","East Brunswick","USA",48799,40.43,-74.42,0
"10094","East Hartford","USA",50209,41.76,-72.62,0
"10096","East Lake","USA",47720,27.98,-82.38,0
"10097","East Lansing","USA",48618,42.74,-84.48,0
"10099","East Los Angeles","USA",125121,34.03,-118.17,0
"10101","East Orange","USA",68064,40.77,-74.21,0
"10102","East Providence","USA",50750,41.8,-71.36,0
"10107","Eau Claire","USA",63049,44.82,-91.49,0
"10163","Eden Prairie","USA",65076,44.85,-93.46,0
"10170","Edina","USA",45648,44.89,-93.36,0
"10171","Edinburg","USA",63193,26.3,-98.16,0
"10177","Edison","USA",103448,40.53,-74.37,0
"10179","Edmond","USA",75061,35.67,-97.41,0
"10180","Edmonds","USA",40023,47.83,-122.37,0
"10218","Egypt Lake-Leto","USA",49538,28.02,-82.5,0
"10313","El Cajon","USA",94767,32.8,-116.96,0
"10419","El Mirage","USA",42234,33.6,-112.32,0
"10423","El Monte","USA",127195,34.07,-118.03,0
"10440","El Paso","USA",603545,31.85,-106.44,0
"10558","Eldersburg","USA",41194,39.41,-76.94,0
"10582","Elgin","USA",99411,42.04,-88.29,0
"10593","Elizabeth","USA",124552,40.67,-74.19,0
"10596","Elk Grove","USA",99467,38.4,-121.37,0
"10599","Elkhart","USA",51198,41.69,-85.97,0
"10606","Ellicott City","USA",68337,39.27,-76.83,0
"10615","Elmhurst","USA",45463,41.9,-87.94,0
"10639","Elyria","USA",55811,41.38,-82.11,0
"10685","Encinitas","USA",62273,33.05,-117.26,0
"10715","Enid","USA",45935,36.41,-97.87,0
"10820","Erie","USA",98968,42.13,-80.09,0
"10894","Escondido","USA",137823,33.14,-117.07,0
"11017","Euclid","USA",49602,41.59,-81.52,0
"11019","Eugene","USA",146483,44.05,-123.11,0
"11022","Euless","USA",54705,32.85,-97.08,0
"11037","Evanston","USA",75419,42.05,-87.69,0
"11038","Evansville","USA",114237,37.98,-87.54,0
"11043","Everett","USA",97575,47.96,-122.2,0
"11126","Fairfield","USA",107749,38.25,-122.04,0
"11127","Fairfield","USA",43279,39.33,-84.54,0
"11128","Fairfield","USA",59352,41.13,-73.26,0
"11171","Fall River","USA",93128,41.71,-71.11,0
"11175","Falmouth","USA",90561,41.55,-70.6,0
"11222","Fargo","USA",92396,46.88,-96.82,0
"11237","Farmington","USA",44278,36.75,-108.19,0
"11238","Farmington Hills","USA",79530,42.49,-83.38,0
"11289","Fayetteville","USA",124919,35.07,-78.9,0
"11290","Fayetteville","USA",66288,36.07,-94.16,0
"11301","Federal Way","USA",80336,47.31,-122.34,0
"11462","Findlay","USA",40571,41.04,-83.64,0
"11497","Fishers","USA",58678,39.95,-86.02,0
"11498","Fitchburg","USA",40565,42.59,-71.82,0
"11509","Flagstaff","USA",58490,35.19,-111.62,0
"11533","Flint","USA",115691,43.02,-83.69,0
"11543","Florence-Graham","USA",63012,33.97,-118.24,0
"11571","Florissant","USA",51644,38.8,-90.32,0
"11574","Flower Mound","USA",70449,33.03,-97.09,0
"11615","Folsom","USA",71775,38.68,-121.15,0
"11620","Fond du Lac","USA",41787,43.77,-88.45,0
"11634","Fontana","USA",178257,34.1,-117.46,0
"11676","Fort Collins","USA",131505,40.56,-105.07,0
"11680","Fort Lauderdale","USA",173597,26.14,-80.14,0
"11683","Fort Myers","USA",53961,26.63,-81.85,0
"11689","Fort Smith","USA",82304,35.37,-94.38,0
"11690","Fort Wayne","USA",231147,41.07,-85.14,0
"11693","Fort Worth","USA",633849,32.75,-97.34,0
"11728","Fountain Valley","USA",56318,33.71,-117.95,0
"11729","Fountainbleau","USA",67124,25.77,-80.35,0
"11746","Framingham","USA",65103,42.31,-71.44,0
"11759","Franconia","USA",42105,38.76,-77.15,0
"11771","Franklin","USA",51478,35.93,-86.84,0
"11796","Frederick","USA",58271,39.43,-77.42,0
"11806","Freeport","USA",43377,40.65,-73.58,0
"11823","Fremont","USA",202574,37.53,-122,0
"11831","Fresno","USA",472517,36.78,-119.79,0
"11846","Frisco","USA",80192,33.14,-96.81,0
"11934","Fullerton","USA",137126,33.88,-117.93,0
"12040","Gainesville","USA",127933,29.67,-82.34,0
"12047","Gaithersburg","USA",61649,39.14,-77.22,0
"12103","Galveston","USA",56205,29.3,-94.81,0
"12194","Garden Grove","USA",167647,33.78,-117.96,0
"12195","Gardena","USA",61550,33.89,-118.3,0
"12215","Garland","USA",217609,32.91,-96.63,0
"12237","Gary","USA",96950,41.6,-87.34,0
"12249","Gastonia","USA",67937,35.25,-81.17,0
"12411","Georgetown","USA",41398,30.65,-97.69,0
"12438","Germantown","USA",66720,39.18,-77.26,0
"12528","Gilbert","USA",186332,33.33,-111.76,0
"12537","Gilroy","USA",46107,37.01,-121.58,0
"12627","Glen Burnie","USA",40546,39.17,-76.6,0
"12630","Glendale","USA",204747,34.18,-118.25,0
"12631","Glendale","USA",244734,33.58,-112.2,0
"12633","Glendora","USA",51929,34.15,-117.84,0
"12636","Glenview","USA",47479,42.08,-87.82,0
"12784","Goodyear","USA",49748,33.35,-112.41,0
"12965","Grand Forks","USA",48195,47.92,-97.07,0
"12967","Grand Island","USA",45052,40.92,-98.37,0
"12968","Grand Junction","USA",46350,39.09,-108.55,0
"12970","Grand Prairie","USA",144018,32.69,-97.02,0
"12971","Grand Rapids","USA",193006,42.96,-85.66,0
"13001","Grapevine","USA",51334,32.93,-97.07,0
"13023","Great Falls","USA",55908,47.5,-111.29,0
"13031","Greater Carrollwood","USA",42586,28.07,-82.52,0
"13037","Greeley","USA",88957,40.42,-104.74,0
"13038","Green Bay","USA",100616,44.52,-87.99,0
"13042","Greensboro","USA",233342,36.08,-79.83,0
"13043","Greenville","USA",55421,34.84,-82.37,0
"13044","Greenville","USA",72617,35.6,-77.37,0
"13045","Greenwich","USA",64100,41.04,-73.59,0
"13046","Greenwood","USA",42298,39.62,-86.11,0
"13060","Gresham","USA",100674,45.5,-122.44,0
"13397","Gulfport","USA",71400,30.39,-89.07,0
"13575","Hacienda Heights","USA",54439,34,-117.97,0
"13579","Hackensack","USA",43923,40.89,-74.05,0
"13743","Haltom City","USA",42053,32.82,-97.27,0
"13763","Hamden","USA",60388,41.37,-72.89,0
"13776","Hamilton","USA",61527,39.39,-84.56,0
"13777","Hamilton","USA",91245,40.09,-74.39,0
"13800","Hammond","USA",78051,41.62,-87.49,0
"13809","Hampton","USA",148201,37.05,-76.29,0
"13830","Hanford","USA",48892,36.33,-119.65,0
"13919","Harlingen","USA",64198,26.2,-97.69,0
"13935","Harrisburg","USA",47576,40.28,-76.88,0
"13937","Harrisonburg","USA",41992,38.44,-78.87,0
"13949","Hartford","USA",123836,41.77,-72.68,0
"14022","Hattiesburg","USA",48728,31.31,-89.31,0
"14056","Haverhill","USA",61928,42.78,-71.09,0
"14073","Hawthorne","USA",87677,33.91,-118.35,0
"14097","Hayward","USA",140704,37.63,-122.1,0
"14201","Hemet","USA",71300,33.73,-117,0
"14206","Hempstead","USA",52769,40.7,-73.62,0
"14214","Henderson","USA",255646,36.03,-115,0
"14215","Hendersonville","USA",45358,36.29,-86.6,0
"14308","Hesperia","USA",75966,34.42,-117.3,0
"14331","Hialeah","USA",224644,25.86,-80.3,0
"14333","Hickory","USA",40968,35.74,-81.33,0
"14334","Hicksville","USA",41452,40.76,-73.53,0
"14354","High Point","USA",96011,35.98,-80,0
"14360","Highland","USA",52692,34.12,-117.19,0
"14361","Highlands Ranch","USA",109009,39.55,-104.97,0
"14380","Hillsboro","USA",85046,45.53,-122.94,0
"14383","Hilo","USA",43466,19.7,-155.09,0
"14411","Hingham","USA",41654,42.24,-70.89,0
"14503","Hoboken","USA",39972,40.74,-74.03,0
"14534","Hoffman Estates","USA",50674,42.06,-88.14,0
"14585","Hollywood","USA",145877,26.03,-80.16,0
"14605","Holyoke","USA",40143,42.21,-72.64,0
"14647","Honolulu","USA",386345,21.32,-157.8,0
"14651","Hoover","USA",67576,33.38,-86.82,0
"14770","Houston","USA",2043005,29.77,-95.39,0
"14997","Huntersville","USA",43970,35.41,-80.86,0
"15001","Huntington","USA",47905,38.41,-82.43,0
"15002","Huntington Beach","USA",197124,33.69,-118.01,0
"15003","Huntington Park","USA",64308,33.98,-118.22,0
"15006","Huntsville","USA",169155,34.71,-86.63,0
"15039","Hutchinson","USA",40386,38.07,-97.91,0
"15140","Idaho Falls","USA",52431,43.49,-112.03,0
"15408","Independence","USA",110124,39.09,-94.35,0
"15414","Indianapolis","USA",771725,39.78,-86.15,0
"15416","Indio","USA",69736,33.72,-116.23,0
"15434","Inglewood","USA",116797,33.96,-118.34,0
"15495","Iowa City","USA",64490,41.66,-91.54,0
"15541","Irondequoit","USA",51825,43.21,-77.57,0
"15557","Irvine","USA",199755,33.66,-117.8,0
"15558","Irving","USA",194407,32.86,-96.97,0
"15559","Irvington","USA",61373,40.72,-74.23,0
"15881","Jackson","USA",175085,32.32,-90.21,0
"15882","Jackson","USA",62552,35.63,-88.83,0
"15883","Jacksonville","USA",68201,34.76,-77.4,0
"15884","Jacksonville","USA",809874,30.33,-81.66,0
"16022","Janesville","USA",61952,42.68,-89.02,0
"16194","Jersey City","USA",237125,40.71,-74.06,0
"16393","Johnson City","USA",59183,36.33,-82.37,0
"16404","Joliet","USA",141246,41.53,-88.12,0
"16416","Jonesboro","USA",59233,35.82,-90.69,0
"16425","Joplin","USA",47060,37.08,-94.5,0
"16532","Jupiter","USA",51126,26.92,-80.1,0
"16786","Kalamazoo","USA",73504,42.27,-85.59,0
"17101","Kansas City","USA",143402,39.12,-94.73,0
"17102","Kansas City","USA",441833,39.12,-94.55,0
"17680","Keller","USA",39928,32.93,-97.23,0
"17717","Kendale Lakes","USA",62715,25.71,-80.41,0
"17718","Kendall","USA",84549,25.67,-80.34,0
"17734","Kenner","USA",69514,29.99,-90.25,0
"17735","Kennewick","USA",63593,46.2,-119.17,0
"17737","Kenosha","USA",94673,42.58,-87.85,0
"17741","Kent","USA",82896,47.39,-122.24,0
"17745","Kentwood","USA",47421,42.88,-85.59,0
"17818","Kettering","USA",55473,39.7,-84.15,0
"18071","Killeen","USA",106441,31.1,-97.72,0
"18127","Kingsport","USA",43776,36.53,-82.56,0
"18198","Kirkland","USA",45913,47.68,-122.19,0
"18270","Kissimmee","USA",67085,28.3,-81.41,0
"18422","Knoxville","USA",172000,35.97,-83.95,0
"18536","Kokomo","USA",46130,40.48,-86.13,0
"19676","La Crosse","USA",50147,43.83,-91.23,0
"19727","La Habra","USA",59799,33.93,-117.95,0
"19770","La Mesa","USA",53942,32.77,-117.02,0
"19773","La Mirada","USA",50598,33.9,-118.01,0
"19822","La Puente","USA",42901,34.03,-117.95,0
"19825","La Quinta","USA",41239,33.67,-116.29,0
"19966","Lafayette","USA",112317,30.22,-92.03,0
"19967","Lafayette","USA",62589,40.41,-86.87,0
"19997","Laguna","USA",49714,38.42,-121.42,0
"19998","Laguna Niguel","USA",67009,33.53,-117.7,0
"20049","Lake Charles","USA",69910,30.21,-93.2,0
"20052","Lake Elsinore","USA",43336,33.67,-117.32,0
"20053","Lake Forest","USA",76859,33.63,-117.7,0
"20054","Lake Havasu City","USA",57685,34.5,-114.31,0
"20055","Lake Magdalene","USA",40413,28.07,-82.47,0
"20058","Lakeland","USA",92011,28.04,-81.96,0
"20062","Lakeville","USA",52745,44.68,-93.24,0
"20064","Lakewood","USA",140154,39.7,-105.11,0
"20065","Lakewood","USA",43436,40.09,-74.21,0
"20066","Lakewood","USA",51999,41.48,-81.8,0
"20067","Lakewood","USA",58995,47.16,-122.53,0
"20068","Lakewood","USA",82632,33.85,-118.12,0
"20146","Lancaster","USA",131779,34.69,-118.18,0
"20147","Lancaster","USA",54390,40.04,-76.3,0
"20214","Lansing","USA",117236,42.71,-84.55,0
"20257","Laredo","USA",218041,27.53,-99.49,0
"20261","Largo","USA",71688,27.91,-82.78,0
"20281","Las Cruces","USA",81473,32.34,-106.76,0
"20319","Las Vegas","USA",553807,36.21,-115.22,0
"20354","Lauderhill","USA",60308,26.17,-80.23,0
"20408","Lawrence","USA",42451,39.87,-85.99,0
"20409","Lawrence","USA",72669,42.7,-71.16,0
"20410","Lawrence","USA",83948,38.96,-95.26,0
"20412","Lawton","USA",91453,34.6,-98.42,0
"20416","Layton","USA",63096,41.08,-111.95,0
"20483","League City","USA",65696,29.49,-95.11,0
"20524","Lee's Summit","USA",83837,38.92,-94.38,0
"20550","Lehigh Acres","USA",52474,26.6,-81.63,0
"20636","Lenexa","USA",43935,38.96,-94.79,0
"20678","Leominster","USA",42479,42.52,-71.77,0
"20817","Levittown","USA",52390,40.72,-73.51,0
"20818","Levittown","USA",52889,40.15,-74.85,0
"20824","Lewisville","USA",97496,33.04,-96.98,0
"20825","Lexington","USA",274245,38.04,-84.46,0
"20967","Lima","USA",39543,40.74,-84.11,0
"21018","Lincoln","USA",245301,40.82,-96.69,0
"21019","Lincoln","USA",40805,38.89,-121.3,0
"21027","Linden","USA",39964,40.63,-74.24,0
"21138","Little Rock","USA",184323,34.72,-92.35,0
"21140","Littleton","USA",41063,39.59,-105.01,0
"21163","Livermore","USA",81787,37.69,-121.76,0
"21173","Livonia","USA",97722,42.4,-83.37,0
"21248","Lodi","USA",64068,38.12,-121.29,0
"21261","Logan","USA",45262,41.74,-111.84,0
"21322","Lombard","USA",42917,41.87,-88.01,0
"21333","Lompoc","USA",40924,34.66,-120.47,0
"21349","Long Beach","USA",486571,33.79,-118.16,0
"21367","Longmont","USA",85988,40.17,-105.11,0
"21375","Longview","USA",76372,32.52,-94.76,0
"21408","Lorain","USA",67692,41.44,-82.18,0
"21436","Los Angeles","USA",3911500,34.11,-118.41,0
"21510","Louisville","USA",241072,38.22,-85.74,0
"21536","Loveland","USA",61578,40.42,-105.07,0
"21546","Lowell","USA",103085,42.64,-71.32,0
"21548","Lower Merion","USA",60579,40.03,-75.28,0
"21583","Lubbock","USA",213587,33.58,-101.88,0
"21815","Lynchburg","USA",65485,37.4,-79.19,0
